fold,symbol,signal_date,entry_price,exit_price,stop_loss,take_profit,prob,rsi,exit_reason,pnl_pct
7,AAPL,2024-07-18,223.0946,215.8208,212.4147,238.7584,0.6101,60.26,timeout,-0.032604
7,AAPL,2024-07-19,225.2678,216.2872,212.6539,238.409,0.7214,64.95,timeout,-0.039866
7,AAPL,2024-07-22,222.648,216.5651,212.8878,237.5939,0.7437,59.01,timeout,-0.027321
7,MSFT,2024-08-27,410.0832,404.1724,393.3415,433.3856,0.7268,67.4,timeout,-0.014414
7,MSFT,2024-08-29,410.7948,397.0556,390.5227,432.4996,0.651,58.79,timeout,-0.033446
7,NVDA,2024-07-08,130.2872,128.3781,112.444,145.8532,0.6355,46.08,timeout,-0.014653
7,NVDA,2024-07-18,120.292,108.3049,108.3049,137.4295,0.6846,46.68,stop_loss,-0.09965
7,NVDA,2024-07-25,116.134,109.1574,97.1814,130.3607,0.7258,37.17,timeout,-0.060074
7,NVDA,2024-08-19,128.3381,126.399,105.084,154.5962,0.7173,68.62,timeout,-0.015109
7,NVDA,2024-08-20,127.2586,128.2382,109.9166,149.5986,0.6018,58.53,timeout,0.007697
7,NVDA,2024-08-21,129.9573,125.5495,113.2972,148.5648,0.6192,68.05,timeout,-0.033918
7,GOOGL,2024-08-14,159.367,164.6793,149.388,173.6554,0.7796,38.67,timeout,0.033333
7,GOOGL,2024-08-30,160.5784,154.1665,154.1665,172.1313,0.7057,52.25,stop_loss,-0.03993
7,AMZN,2024-08-01,166.75,170.8632,170.8632,201.1036,0.8038,35.52,stop_loss,0.024667
7,AMZN,2024-08-27,173.69,173.33,166.8875,183.845,0.6313,68.65,timeout,-0.002073
7,AMZN,2024-09-10,180.1,186.88,164.2204,193.4293,0.6219,50.75,timeout,0.037646
7,TSLA,2024-07-18,247.79,222.8543,222.8543,295.1214,0.6987,73.05,stop_loss,-0.100632
7,TSLA,2024-07-22,253.6,232.1,213.5275,298.115,0.8404,67.03,timeout,-0.084779
7,TSLA,2024-07-23,225.42,214.7393,214.7393,290.5614,0.8693,57.13,stop_loss,-0.047381
7,TSLA,2024-07-24,216.8,232.07,191.0571,263.2957,0.6202,37.47,timeout,0.070434
7,TSLA,2024-07-26,224.9,207.67,191.895,265.43,0.6503,36.13,timeout,-0.076612
7,TSLA,2024-09-10,224.55,227.87,193.8311,259.5279,0.6264,52.41,timeout,0.014785
7,JPM,2024-08-12,200.252,207.6941,186.7969,214.2252,0.6516,45.15,timeout,0.037164
7,JPM,2024-08-16,206.2963,210.4511,192.057,221.4814,0.6448,53.57,timeout,0.02014
7,JPM,2024-08-20,206.7108,212.2538,196.8442,221.0552,0.7025,52.18,timeout,0.026815
7,JPM,2024-09-19,202.3728,202.2282,190.989,219.4432,0.6507,36.88,timeout,-0.000715
7,NFLX,2024-07-11,65.275,64.304,62.6555,69.4521,0.648,37.51,timeout,-0.014876
7,NFLX,2024-07-22,64.75,62.696,60.1253,70.3234,0.6919,37.71,timeout,-0.031722
7,NFLX,2024-08-29,70.036,66.577,65.3262,74.0156,0.666,77.22,timeout,-0.049389
7,AMD,2024-07-09,179.99,177.55,156.0371,196.3857,0.8485,69.58,timeout,-0.013556
7,AMD,2024-07-11,182.02,164.7582,164.7582,201.8236,0.8076,72.05,stop_loss,-0.094835
7,AMD,2024-08-22,153.6,145.49,140.4447,172.6936,0.7903,69.76,timeout,-0.052799
