fold,symbol,signal_date,entry_price,exit_price,stop_loss,take_profit,prob,rsi,exit_reason,pnl_pct
8,GOOGL,2024-12-02,170.5054,174.563,160.1218,179.6231,0.6514,37.92,timeout,0.023797
8,GOOGL,2024-12-03,170.1674,179.271,160.2571,179.271,0.6179,35.55,take_profit,0.053498
8,AMZN,2024-10-14,187.63,189.07,180.2551,195.9023,0.6193,39.83,timeout,0.007675
8,AMD,2024-12-30,123.1,120.79,115.0682,132.5795,0.6185,35.58,timeout,-0.018765
8,AVGO,2024-10-10,178.6633,179.048,164.4535,195.219,0.6082,68.48,timeout,0.002153
8,AVGO,2024-10-30,172.0648,177.095,160.6516,186.5511,0.6416,38.62,timeout,0.029235
9,MSFT,2025-03-05,391.2845,380.3581,364.6274,418.1902,0.6419,44.45,timeout,-0.027924
9,MSFT,2025-03-06,389.3394,375.8923,364.1128,414.8635,0.65,40.5,timeout,-0.034538
9,MSFT,2025-03-07,382.9086,385.6079,367.906,412.3791,0.6633,39.63,timeout,0.00705
9,MSFT,2025-03-17,384.1293,390.0936,358.6309,409.6741,0.6292,43.69,timeout,0.015527
9,MSFT,2025-03-18,382.601,392.1578,360.8613,404.2543,0.6433,39.37,timeout,0.024979
9,MSFT,2025-03-19,382.8094,387.0072,363.2271,407.3398,0.6158,46.79,timeout,0.010966
9,NVDA,2025-02-03,116.9217,133.5263,100.7402,134.971,0.6893,39.08,timeout,0.142014
9,NVDA,2025-02-06,129.1777,135.2457,104.6346,146.6785,0.6643,46.92,timeout,0.046974
9,NVDA,2025-02-28,123.4695,112.6531,106.9632,138.9771,0.6203,45.03,timeout,-0.087604
9,NVDA,2025-03-04,117.5415,108.7244,99.2593,132.174,0.6531,35.46,timeout,-0.075013
9,NVDA,2025-03-13,118.5821,118.5021,92.9077,133.2948,0.6199,35.71,timeout,-0.000675
9,NVDA,2025-03-14,122.7111,117.6723,101.262,139.0284,0.6167,43.67,timeout,-0.041062
9,NVDA,2025-03-17,117.9722,121.3814,102.2767,136.7315,0.6931,44.66,timeout,0.028898
9,NVDA,2025-03-18,117.2424,120.6616,103.2525,132.2936,0.6989,37.97,timeout,0.029164
9,GOOGL,2025-03-19,161.0117,164.4896,148.025,175.5538,0.6485,44.62,timeout,0.0216
9,GOOGL,2025-03-20,160.6529,161.6794,148.0149,174.4827,0.602,40.97,timeout,0.006389
9,AMZN,2025-03-21,200.0,192.72,181.7096,211.5855,0.6153,39.69,timeout,-0.0364
9,META,2025-03-17,598.1838,616.9253,542.5811,665.3964,0.6541,37.92,timeout,0.031331
9,META,2025-03-21,613.0574,574.9463,533.4116,653.7519,0.6005,35.22,timeout,-0.062166
9,META,2025-03-28,561.7475,584.1776,538.2854,625.6255,0.6178,44.45,timeout,0.039929
9,META,2025-03-31,569.0647,584.1776,517.3851,625.8585,0.6283,41.97,timeout,0.026557
9,TSLA,2025-02-19,361.51,319.8925,319.8925,401.9712,0.6182,40.12,stop_loss,-0.115121
9,TSLA,2025-03-19,233.35,280.1754,192.7364,280.1754,0.6675,36.74,take_profit,0.200666
9,TSLA,2025-03-21,258.08,289.1682,202.2279,289.1682,0.6244,39.26,take_profit,0.12046
9,TSLA,2025-03-26,272.48,268.46,227.7775,314.8888,0.6576,52.3,timeout,-0.014753
9,TSLA,2025-03-27,275.58,268.46,237.4743,316.6836,0.6169,52.78,timeout,-0.025836
9,TSLA,2025-03-28,249.31,268.46,234.4422,302.7418,0.6152,63.19,timeout,0.076812
9,TSLA,2025-03-31,263.8,268.46,217.2161,298.3759,0.6168,59.35,timeout,0.017665
9,AMD,2025-02-06,109.13,111.81,99.3129,120.9407,0.6039,39.31,timeout,0.024558
9,AVGO,2025-03-17,188.3395,189.7128,167.5594,219.1634,0.7164,45.96,timeout,0.007292
9,AVGO,2025-03-18,187.2516,186.7469,167.3263,212.8573,0.7881,37.21,timeout,-0.002695
9,AVGO,2025-03-19,189.9807,177.8291,168.4368,218.0155,0.68,48.71,timeout,-0.063962
9,AVGO,2025-03-20,186.6973,170.6077,168.6468,213.2962,0.7087,45.35,timeout,-0.08618
9,AVGO,2025-03-21,192.7383,170.2167,170.2167,212.0523,0.6611,53.1,stop_loss,-0.116851
9,AVGO,2025-03-26,176.2321,162.9865,162.9865,197.5784,0.6759,50.24,stop_loss,-0.07516
9,AVGO,2025-03-28,163.1679,167.1655,153.5418,185.1461,0.7194,37.4,timeout,0.0245
12,AMD,2025-12-02,216.26,221.62,190.85,249.215,0.6393,40.3,timeout,0.024785
13,AMD,2026-02-04,201.86,213.58,176.2193,234.5861,0.6111,40.04,timeout,0.05806
